RiskProfile,InvestmentKnowledge,LiquidityNeeds,TimeHorizonYears,InvestmentType,InvestmentVolRange,InvestmentRetRange,Suitability
Conservative,Intermediate,Medium,13,FD,Very Low,Very Low,Suitable
Conservative,Intermediate,Medium,13,PPF,Very Low,Low,Suitable
Conservative,Intermediate,Medium,13,DebtMF,Low,Low,Suitable
Conservative,Intermediate,Medium,13,IndexFund,Medium,Medium,Not Suitable
Conservative,Intermediate,Medium,13,BalancedMF,Medium,Medium,Not Suitable
Conservative,Intermediate,Medium,13,LargeCapMF,High,High,Not Suitable
Conservative,Intermediate,Medium,13,MidSmallCapMF,Very High,Very High,Not Suitable
Conservative,Intermediate,Medium,13,DirectEquity,Very High,Very High,Not Suitable
Conservative,Beginner,Low,25,FD,Very Low,Very Low,Suitable
Conservative,Beginner,Low,25,PPF,Very Low,Low,Suitable
Conservative,Beginner,Low,25,DebtMF,Low,Low,Suitable
Conservative,Beginner,Low,25,IndexFund,Medium,Medium,Not Suitable
Conservative,Beginner,Low,25,BalancedMF,Medium,Medium,Not Suitable
Conservative,Beginner,Low,25,LargeCapMF,High,High,Not Suitable
Conservative,Beginner,Low,25,MidSmallCapMF,Very High,Very High,Not Suitable
Conservative,Beginner,Low,25,DirectEquity,Very High,Very High,Not Suitable
Moderate,Beginner,Low,18,FD,Very Low,Very Low,Not Suitable
Moderate,Beginner,Low,18,PPF,Very Low,Low,Not Suitable
Moderate,Beginner,Low,18,DebtMF,Low,Low,Suitable
Moderate,Beginner,Low,18,IndexFund,Medium,Medium,Suitable
Moderate,Beginner,Low,18,BalancedMF,Medium,Medium,Suitable
Moderate,Beginner,Low,18,LargeCapMF,High,High,Not Suitable
Moderate,Beginner,Low,18,MidSmallCapMF,Very High,Very High,Not Suitable
Moderate,Beginner,Low,18,DirectEquity,Very High,Very High,Not Suitable
Conservative,Intermediate,High,3,FD,Very Low,Very Low,Suitable
Conservative,Intermediate,High,3,PPF,Very Low,Low,Not Suitable
Conservative,Intermediate,High,3,DebtMF,Low,Low,Suitable
Conservative,Intermediate,High,3,IndexFund,Medium,Medium,Not Suitable
