UserID,AgeRange,IncomeRange,SavingsLevel,DebtLevel,HasDependents,PrimaryGoal,SelfReportedTolerance,InvestmentKnowledge,LiquidityNeeds,TimeHorizonYears,RiskProfile
1001,25-34,₹12-25 LPA,Medium,Medium,Yes,Wealth,Low,Intermediate,Medium,13,Conservative
1002,55+,₹12-25 LPA,Medium,High,Yes,Retirement,Low,Beginner,Low,25,Conservative
1003,45-54,₹5-12 LPA,High,Low,Yes,Retirement,High,Beginner,Low,18,Moderate
1004,35-44,₹25+ LPA,Medium,Low,No,Marriage,Low,Intermediate,High,3,Conservative
1005,25-34,< ₹5 LPA,High,Medium,Yes,ChildEdu,Medium,Beginner,Medium,7,Moderate
1006,25-34,< ₹5 LPA,Low,High,No,Other,Medium,Intermediate,Medium,7,Conservative
1007,18-24,₹12-25 LPA,Medium,Medium,Yes,Marriage,Medium,Advanced,Medium,7,Moderate
1008,55+,₹5-12 LPA,High,Low,No,Other,Medium,Beginner,High,18,Conservative
1009,35-44,₹12-25 LPA,Low,Medium,No,Retirement,Low,Intermediate,Low,18,Conservative
1010,45-54,₹12-25 LPA,Medium,High,No,Wealth,High,Beginner,Medium,7,Aggressive
1011,18-24,< ₹5 LPA,Low,High,No,ChildEdu,Low,Beginner,Medium,3,Conservative
1012,55+,₹12-25 LPA,Medium,High,No,Other,Medium,Beginner,Medium,7,Conservative
1013,45-54,₹5-12 LPA,Medium,Low,No,Retirement,Low,Beginner,High,25,Conservative
1014,25-34,₹5-12 LPA,Medium,Low,Yes,Property,Medium,Beginner,High,13,Moderate
1015,25-34,₹5-12 LPA,Low,Medium,Yes,Wealth,Medium,Beginner,Medium,25,Moderate
1016,25-34,₹25+ LPA,Low,High,Yes,ChildEdu,High,Advanced,High,25,Conservative
1017,25-34,< ₹5 LPA,Low,Low,Yes,Property,Medium,Intermediate,Medium,18,Moderate
1018,35-44,₹5-12 LPA,Medium,Low,Yes,Other,Medium,Advanced,High,25,Moderate
1019,35-44,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,High,Intermediate,Low,7,Moderate
1020,25-34,₹12-25 LPA,High,Low,Yes,Marriage,Medium,Beginner,High,18,Aggressive
1021,35-44,₹5-12 LPA,Medium,Low,Yes,Retirement,Medium,Beginner,Medium,7,Moderate
1022,18-24,< ₹5 LPA,Medium,Medium,Yes,Wealth,Medium,Beginner,Low,25,Moderate
1023,25-34,< ₹5 LPA,High,Medium,No,Marriage,Medium,Beginner,Low,3,Conservative
1024,25-34,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,High,Intermediate,Medium,25,Moderate
1025,35-44,₹12-25 LPA,High,Low,No,Retirement,Low,Intermediate,High,3,Conservative
1026,45-54,< ₹5 LPA,Medium,Medium,Yes,Property,Medium,Beginner,Low,25,Moderate
1027,25-34,< ₹5 LPA,Low,Medium,No,Retirement,Medium,Beginner,Medium,13,Moderate
1028,35-44,₹25+ LPA,Low,Medium,No,Retirement,High,Beginner,High,18,Moderate
1029,35-44,< ₹5 LPA,Medium,Medium,No,Marriage,High,Beginner,Medium,13,Moderate
